APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2017.0,2017R01GM120523,363652.0,TargetOnly
2020.0,2020R01GM120357,353943.0,TargetOnly
2019.0,2019R01GM120357,358175.0,TargetOnly
2019.0,2019R01GM125797,338861.0,TargetOnly
2019.0,2019R01GM126535,499385.0,TargetOnly
2013.0,2013R01HG000376,455168.0,TargetOnly
2014.0,2014R01HG004960,383284.0,TargetOnly
2018.0,2018R01HG009174,881893.0,TargetOnly
2014.0,2014R01AG008122,1596395.0,TargetOnly
2007.0,2007R01AG016592,1104507.0,TargetOnly
2016.0,2016R01AG023629,167743.0,TargetOnly
2008.0,2008R01AG028569,409767.0,TargetOnly
2013.0,2013R01AG032098,588033.0,TargetOnly
2016.0,2016R01AG033193,609669.0,TargetOnly
2014.0,2014R01AG033193,839178.0,TargetOnly
2013.0,2013R01AG013196,1019519.0,TargetOnly
2016.0,2016R01AG050986,755220.0,TargetOnly
2004.0,2004R01AI049572,663964.0,TargetOnly
2004.0,2004R01AI049832,663964.0,TargetOnly
2009.0,2009R01AI068769,431648.0,TargetOnly
2016.0,2016R01AI064569,399002.0,TargetOnly
2018.0,2018R01AI117064,1106988.0,TargetOnly
2015.0,2015R01ES021367,600485.0,TargetOnly
2018.0,2018R01ES024015,357750.0,TargetOnly
2019.0,2019R01HD081256,688007.0,TargetOnly
2015.0,2015R01NS054794,625922.0,TargetOnly
2008.0,2008R01AR049932,379572.0,TargetOnly
2018.0,2018R01EB022376,451488.0,TargetOnly
2018.0,2018R01EB023776,353250.0,TargetOnly
2020.0,2020R01EB024562,536828.0,TargetOnly
2020.0,2020R01EB027170,327809.0,TargetOnly
2020.0,2020R01EB028532,390737.0,TargetOnly
2017.0,2017R01DA036865,495327.0,TargetOnly
2017.0,2017R01DA036858,641026.0,TargetOnly
2010.0,2010R01AA017442,391511.0,TargetOnly
2009.0,2009R01AT002543,449056.0,TargetOnly
2015.0,2015R01AT006336,383752.0,TargetOnly
2014.0,2014R01AT006336,384694.0,TargetOnly
2016.0,2016R01AT009168,568850.0,TargetOnly
2019.0,2019R01MH074090,740761.0,TargetOnly
2019.0,2019R01MH107431,551893.0,TargetOnly
2020.0,2020R01MH115957,794299.0,TargetOnly
2011.0,2011R01DE018184,511897.0,TargetOnly
2015.0,2015R01NR012726,533040.0,TargetOnly
2018.0,2018R01NR013520,594314.0,TargetOnly
2017.0,2017UM1HL113530,491118.0,Drug
2017.0,2017UM1CA182913,876414.0,TargetOnly
2016.0,2016UM1CA182913,909641.0,TargetOnly
2020.0,2020UM1HG008900,2716209.0,TargetOnly
2020.0,2020UM1HG006493,2199986.0,TargetOnly
2017.0,2017K01HL133416,148833.0,Drug
2016.0,2016K01HL125751,154112.0,TargetOnly
2020.0,2020K01HL133416,130884.0,TargetOnly
2018.0,2018K01HL133416,141772.0,TargetOnly
2020.0,2020K01HL144607,161935.0,TargetOnly
2016.0,2016K01DK096127,166686.0,TargetOnly
2018.0,2018K01AG046432,137511.0,TargetOnly
2009.0,2009K01AA015344,151183.0,TargetOnly
2016.0,2016K01AT007826,139182.0,TargetOnly
2020.0,2020K24HL136852,113420.0,Drug
2014.0,2014K24HL107643,186545.0,TargetOnly
2015.0,2015K24HL111154,249812.0,TargetOnly
2020.0,2020K24HL145076,108167.0,TargetOnly
2017.0,2017K24DK082730,163016.0,TargetOnly
2016.0,2016K24AI112393,198688.0,TargetOnly
2020.0,2020F32HL144029,71418.0,Drug
2013.0,2013F32HL116189,62484.0,TargetOnly
2019.0,2019F32HL136044,63291.0,TargetOnly
2016.0,2016F32GM115208,61423.0,TargetOnly
2018.0,2018P30DK036836,1660111.0,Drug
2018.0,2018P30DK048520,1095150.0,Drug
2016.0,2016P30DK048520,1235230.0,Drug
2015.0,2015P30DK079626,1283317.0,Drug
2017.0,2017P30AG024968,831458.0,Drug
2018.0,2018P30CA013696,5429997.0,TargetOnly
2017.0,2017P30CA014051,3749116.0,TargetOnly
2015.0,2015P30CA014051,4009679.0,TargetOnly
2020.0,2020P30CA014236,6243374.0,TargetOnly
2020.0,2020P30CA069533,3472781.0,TargetOnly
2014.0,2014P30DK019525,2137154.0,TargetOnly
2016.0,2016P30DK026743,1301127.0,TargetOnly
2014.0,2014P30DK026743,1332521.0,TargetOnly
2013.0,2013P30DK026743,1367737.0,TargetOnly
2018.0,2018P30DK043351,1225259.0,TargetOnly
2018.0,2018P30DK056341,1143750.0,TargetOnly
2011.0,2011P30DK056341,1383032.0,TargetOnly
2013.0,2013P30DK056350,1208648.0,TargetOnly
2018.0,2018P30DK056338,1159541.0,TargetOnly
2014.0,2014P30DK058404,1295098.0,TargetOnly
2017.0,2017P30DK063491,2039511.0,TargetOnly
2016.0,2016P30DK063491,2127239.0,TargetOnly
2014.0,2014P30DK063491,2202082.0,TargetOnly
2013.0,2013P30DK063491,2161345.0,TargetOnly
2011.0,2011P30DK063491,1748046.0,TargetOnly
2018.0,2018P30DK063608,1661669.0,TargetOnly
2017.0,2017P30DK089503,1158218.0,TargetOnly
2014.0,2014P30DK079637,2185757.0,TargetOnly
2015.0,2015P30DK020572,1564915.0,TargetOnly
2014.0,2014P30DK020572,2230021.0,TargetOnly
2013.0,2013P30DK020572,1643339.0,TargetOnly
2020.0,2020P30DK020541,1954557.0,TargetOnly
2019.0,2019P30DK020541,2019790.0,TargetOnly
2017.0,2017P30DK020541,2202489.0,TargetOnly
2018.0,2018P30DK097512,935716.0,TargetOnly
2020.0,2020P30DK116074,1432068.0,TargetOnly
2018.0,2018P30DK116074,1551177.0,TargetOnly
2020.0,2020P30DK120531,1069053.0,TargetOnly
2020.0,2020P30EY010572,722621.0,TargetOnly
2015.0,2015P30EY012196,932457.0,TargetOnly
2020.0,2020P30AG024824,1707210.0,TargetOnly
2018.0,2018P30AI078498,772427.0,TargetOnly
2020.0,2020P30AI094189,7407576.0,TargetOnly
2018.0,2018P30AI094189,3868228.0,TargetOnly
2017.0,2017P30AI117970,1697072.0,TargetOnly
2013.0,2013P30ES010126,1566046.0,TargetOnly
2017.0,2017P30NS055077,654822.0,TargetOnly
2009.0,2009P30DA018310,1456828.0,TargetOnly
2017.0,2017K12HD051958,462361.0,Drug
2015.0,2015K12HS023000,796744.0,Drug
2017.0,2017K12DK094721,599604.0,TargetOnly
2016.0,2016K12DK094721,627585.0,TargetOnly
2020.0,2020K12HD043488,501255.0,TargetOnly
2019.0,2019K12HD043488,348806.0,TargetOnly
2020.0,2020K12HD051958,610080.0,TargetOnly
2018.0,2018K12HD092535,538400.0,TargetOnly
2017.0,2017K12HS023000,752180.0,TargetOnly
2015.0,2015UL1TR000058,2423026.0,Drug
2015.0,2015UL1TR000040,7480617.0,Drug
2017.0,2017UL1TR001860,4486313.0,Drug
2007.0,2007UL1RR024923,345419.0,TargetOnly
2010.0,2010UL1RR024982,7457335.0,TargetOnly
2011.0,2011UL1RR024992,11774824.0,TargetOnly
2011.0,2011UL1RR025008,7316192.0,TargetOnly
2010.0,2010UL1DE019584,510637.0,TargetOnly
2015.0,2015UL1TR000124,15891932.0,TargetOnly
2014.0,2014UL1TR000124,16251886.0,TargetOnly
2013.0,2013UL1TR000124,15501586.0,TargetOnly
2015.0,2015UL1TR000004,21772607.0,TargetOnly
2015.0,2015UL1TR000127,5011815.0,TargetOnly
2014.0,2014UL1TR000454,5932569.0,TargetOnly
2014.0,2014UL1TR000040,7633997.0,TargetOnly
2016.0,2016UL1TR000445,9108414.0,TargetOnly
2015.0,2015UL1TR000003,11094330.0,TargetOnly
2014.0,2014UL1TR000003,11256584.0,TargetOnly
2017.0,2017UL1TR001079,13880700.0,TargetOnly
2016.0,2016UL1TR001082,10010129.0,TargetOnly
2017.0,2017UL1TR001881,15545031.0,TargetOnly
2018.0,2018UL1TR001878,10004097.0,TargetOnly
2017.0,2017UL1TR001878,10883435.0,TargetOnly
2017.0,2017UL1TR001863,9996134.0,TargetOnly
2020.0,2020UL1TR001860,4004920.0,TargetOnly
2018.0,2018UL1TR002243,8192144.0,TargetOnly
2019.0,2019U54GM104942,3858867.0,Drug
2016.0,2016U54GM104941,4354089.0,Drug
2014.0,2014U54CA151884,2489324.0,TargetOnly
2016.0,2016U54DK083912,1246582.0,TargetOnly
2017.0,2017U54DK105566,2633491.0,TargetOnly
2017.0,2017U54GM087519,2422059.0,TargetOnly
2020.0,2020U54GM104942,8311775.0,TargetOnly
2019.0,2019U54GM104940,3858867.0,TargetOnly
2018.0,2018U54GM104940,4000000.0,TargetOnly
2017.0,2017U54GM115428,4172637.0,TargetOnly
2020.0,2020U54GM115516,3735349.0,TargetOnly
2015.0,2015U54HG003067,45656678.0,TargetOnly
2015.0,2015U54HG003273,39658075.0,TargetOnly
2020.0,2020U54HG006938,883967.0,TargetOnly
2018.0,2018U54HG007963,2716659.0,TargetOnly
2017.0,2017P20GM103492,2361139.0,Drug
2016.0,2016P20HL113451,623302.0,TargetOnly
2020.0,2020P20GM103424,2382685.0,TargetOnly
2013.0,2013P20GM103449,3481544.0,TargetOnly
2020.0,2020P20GM121301,2570622.0,TargetOnly
2014.0,2014P20MD006899,1197947.0,TargetOnly
2019.0,2019ZIAAR041203,1569458.0,Drug
2019.0,2019ZIAAA000242,2852471.0,Drug
2016.0,2016ZIAHL002058,1217702.0,TargetOnly
