APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2014.0,2014P01AG014449,1971279.0,TargetOnly
2012.0,2012P01AG014449,1998726.0,TargetOnly
2011.0,2011P01AG014449,1503546.0,TargetOnly
2010.0,2010P01AG014449,2701596.0,TargetOnly
2009.0,2009P01AG014449,2126038.0,TargetOnly
2008.0,2008P01AG014449,2139982.0,TargetOnly
2006.0,2006P01AG014449,1908406.0,TargetOnly
2005.0,2005P01AG014449,1944935.0,TargetOnly
2004.0,2004P01AG014449,1986032.0,TargetOnly
2002.0,2002P01AG014449,2087304.0,TargetOnly
2001.0,2001P01AG014449,1304906.0,TargetOnly
1999.0,1999P01AG014449,0.0,TargetOnly
2006.0,2006P01AG014751,1408304.0,TargetOnly
2014.0,2014P01AG014930,1725530.0,TargetOnly
2012.0,2012P01AG014930,1779218.0,TargetOnly
2011.0,2011P01AG014930,1815975.0,TargetOnly
2010.0,2010P01AG014930,1884951.0,TargetOnly
2009.0,2009P01AG014930,1646965.0,TargetOnly
2008.0,2008P01AG014930,1587203.0,TargetOnly
2006.0,2006P01AG014930,1738836.0,TargetOnly
2001.0,2001P01AG014930,1603269.0,TargetOnly
2020.0,2020P01AG015379,1642062.0,TargetOnly
2017.0,2017P01AG015379,2147849.0,TargetOnly
2015.0,2015P01AG015379,2154009.0,TargetOnly
2014.0,2014P01AG015379,2220306.0,TargetOnly
2013.0,2013P01AG015379,2316722.0,TargetOnly
2012.0,2012P01AG015379,1335365.0,TargetOnly
2011.0,2011P01AG015379,3060444.0,TargetOnly
2010.0,2010P01AG015379,3111532.0,TargetOnly
2009.0,2009P01AG015379,2551775.0,TargetOnly
2008.0,2008P01AG015379,2468071.0,TargetOnly
2004.0,2004P01AG015379,3947438.0,TargetOnly
2003.0,2003P01AG015379,4041346.0,TargetOnly
2002.0,2002P01AG015379,2305064.0,TargetOnly
2001.0,2001P01AG015379,831277.0,TargetOnly
2000.0,2000P01AG015379,3703069.0,TargetOnly
2004.0,2004P01AG015453,265860.0,TargetOnly
2003.0,2003P01AG015453,1610299.0,TargetOnly
2002.0,2002P01AG015453,1556114.0,TargetOnly
2001.0,2001P01AG015453,1542229.0,TargetOnly
2001.0,2001P01AG015501,925803.0,TargetOnly
2003.0,2003P01AG016223,1419805.0,TargetOnly
2002.0,2002P01AG016223,1433360.0,TargetOnly
2001.0,2001P01AG016223,1473605.0,TargetOnly
2000.0,2000P01AG016223,1976537.0,TargetOnly
2011.0,2011P01AG017216,111630.0,TargetOnly
2010.0,2010P01AG017216,115160.0,TargetOnly
2008.0,2008P01AG017216,1537716.0,TargetOnly
2007.0,2007P01AG017216,1642790.0,TargetOnly
2006.0,2006P01AG017216,1603031.0,TargetOnly
2005.0,2005P01AG017216,1674457.0,TargetOnly
2002.0,2002P01AG017216,1778948.0,TargetOnly
2001.0,2001P01AG017216,1916353.0,TargetOnly
2008.0,2008P01AG010491,1790279.0,TargetOnly
2007.0,2007P01AG010491,1882680.0,TargetOnly
2006.0,2006P01AG010491,2388802.0,TargetOnly
2005.0,2005P01AG010491,1413148.0,TargetOnly
2003.0,2003P01AG010491,1235667.0,TargetOnly
2002.0,2002P01AG010491,1286711.0,TargetOnly
2001.0,2001P01AG010491,1196913.0,TargetOnly
2000.0,2000P01AG010491,1296425.0,TargetOnly
2009.0,2009P01AG017490,2007133.0,TargetOnly
2008.0,2008P01AG017490,1887824.0,TargetOnly
2007.0,2007P01AG017490,1905238.0,TargetOnly
2006.0,2006P01AG017490,1973323.0,TargetOnly
2005.0,2005P01AG017490,383650.0,TargetOnly
2004.0,2004P01AG017490,2344988.0,TargetOnly
2003.0,2003P01AG017490,2344380.0,TargetOnly
2002.0,2002P01AG017490,2296548.0,TargetOnly
2020.0,2020P01AG017586,2129039.0,TargetOnly
2019.0,2019P01AG017586,2194877.0,TargetOnly
2018.0,2018P01AG017586,2288632.0,TargetOnly
2017.0,2017P01AG017586,2394706.0,TargetOnly
2016.0,2016P01AG017586,2504941.0,TargetOnly
2015.0,2015P01AG017586,1877461.0,TargetOnly
2014.0,2014P01AG017586,1972149.0,TargetOnly
2013.0,2013P01AG017586,1928544.0,TargetOnly
2012.0,2012P01AG017586,2113089.0,TargetOnly
2011.0,2011P01AG017586,2190340.0,TargetOnly
2010.0,2010P01AG017586,182472.0,TargetOnly
2009.0,2009P01AG017586,2295215.0,TargetOnly
2008.0,2008P01AG017586,2232648.0,TargetOnly
2005.0,2005P01AG017586,2057399.0,TargetOnly
2004.0,2004P01AG017586,1718316.0,TargetOnly
2020.0,2020P01AG017617,2597368.0,TargetOnly
2019.0,2019P01AG017617,2387158.0,TargetOnly
2017.0,2017P01AG017617,2503340.0,TargetOnly
2016.0,2016P01AG017617,705904.0,TargetOnly
2015.0,2015P01AG017617,2030566.0,TargetOnly
2014.0,2014P01AG017617,2095936.0,TargetOnly
2013.0,2013P01AG017617,2012779.0,TargetOnly
2012.0,2012P01AG017617,2161144.0,TargetOnly
2011.0,2011P01AG017617,2713618.0,TargetOnly
2009.0,2009P01AG017617,2507021.0,TargetOnly
2008.0,2008P01AG017617,2252070.0,TargetOnly
2007.0,2007P01AG017617,2331321.0,TargetOnly
2006.0,2006P01AG017617,2299114.0,TargetOnly
2005.0,2005P01AG017617,2171513.0,TargetOnly
2004.0,2004P01AG017617,1931946.0,TargetOnly
